"Spectral Clustering","Genie","Hierarchical - ward.D","Hierarchical - ward.D2","Hierarchical - single","Hierarchical - complete","Hierarchical - average","Hierarchical - mcquitty","Hierarchical - median","Hierarchical - centroid","Mclust"
"atom",1,1,1,0.0986262181864304,1,0.0835311928893039,0.0986262181864304,0.213206019358984,0.000125160337236546,0.00345482120298864,0.980075065153501
"chainlink",1,1,0.393861218345852,0.280338750671319,1,0.313045485364763,0.271921713666508,0.401437099290508,0.288884107635801,0.203746306782653,0.910025936232361
"engytime",0.946997338799535,0.812417278543569,0.753648829625393,0.718453372593081,4.76953829320432e-07,0.040580394647764,0.0510138263427429,0.031860269191981,0.0231286854183281,0.000207476290326673,0.854325255444505
"hepta",0.87953922373529,1,1,1,1,1,1,1,1,1,1
"lsun",1,1,0.365942783786675,0.368821683534485,1,0.404612960951958,0.361088530751963,0.306506365287466,0.471261113503063,0.71078799809729,1
"target",0.472818262952967,0.429111481622092,0.638944916832706,0.638779120247275,1,0.206684299672276,0.145592188215709,0.2994010586115,0.254884980283969,0.0896137405917904,0.637530692357677
"tetra",1,1,1,0.967267633008765,-2.50632847941079e-05,0.986700900040098,0.993316527220373,1,0.671340691289061,0.967267633008765,1
"twodiamonds",0.99499999220708,0.975125122351754,1,1,0,0.985037524550926,0.99499999220708,0.99499999220708,0.647600720529576,0.99499999220708,1
"wingnut",-0.000741377230694035,1,1,0.601147745194899,1,0.468807511870273,1,1,1,1,0.863154903824601
"dense",1,0.960200080403878,1,0.921204677133922,0.000603194214965435,0.257263792744253,0.921204677133922,0.00422397315966757,0.921204677133922,0.921204677133922,1
"fuzzyx",0.522851402072211,0.340145739043006,0.693772258917531,0.636985969454972,-0.000126032393557203,0.653715362084362,0.742600227432063,0.614908373851101,0.565879545976443,0.269604177835202,0.76367798173222
"line",0.272655093872453,1,-0.0635571501793952,-0.10430674209853,1,-0.0709960601813904,-0.066108799452802,-0.0167037861915367,-0.077783803009895,-0.066108799452802,1
"parabolic",0.652516671943773,0.813418507363336,0.391283195381691,0.62056734115113,6.50408440175961e-05,0.589417226013762,0.598675008563865,0.601783299497684,0.688589917433366,0.509315511139113,0.192970235966778
"ring",0.276114192152068,1,0.150011837641566,0.11646250093161,1,0.209204953022225,0.113745642940336,0.159461516887696,0.0396539293439076,0.0285974941746124,1
"zigzag",0.484382225021947,1,0.141695758759004,0.141695758759004,1,0.130128486486657,0.129193352351804,0.132361508171249,0.142996944339039,0.182460284738622,0.974196378009297
"iris",0.94060684224632,0.885792100198963,0.759198707107152,0.731198556770774,0.563751020523071,0.64225125183629,0.759198707107152,0.745503868180448,0.744526430873875,0.563751020523071,0.903874231774812
"iris5",0.803959633688832,0.593773465026281,0.557788863596003,0.506368964014143,0.148461400035991,0.337008100464938,0.557788863596003,0.532204414877533,0.53125189377871,0.148461400035991,0.858034321372855
"square",0.995999996008016,1,0.00425885181585891,0.253452551720477,1,0.167556787056539,0.151566735488702,0.220338784404269,0.218463095892533,0.184348802679368,0.1276506883584
"a1",0.722326258051333,0.89883586421565,0.920056571616274,0.914155302040047,0.443571022838663,0.916228429500943,0.925094310320662,0.804022108002675,0.667845901788496,0.865927332072551,0.96638350956939
"a2",0.798061728332887,0.92242699394991,0.932131873010406,0.922256653591378,0.347756577821598,0.908415480526077,0.9337253051435,0.856877771148774,0.624873988507861,0.814850049341863,0.844434679875787
"a3",0.663632347142728,0.938654515822145,0.947363821495965,0.937376282157567,0.315389079638147,0.917855629735215,0.943526692367395,0.849599272210285,0.641809954603713,0.843265365529763,0.655295758857161
"aggregation",0.868103668858933,0.56554441952953,0.794400210319633,0.813313738284151,0.804206968396706,0.774420011803794,0.993467313934767,0.682501856877056,0.949326364020144,0.993467313934767,0.790916641999567
"compound",0.616902415301209,0.541257173663871,0.558361403346273,0.551802557271377,0.742480944868768,0.792878140468533,0.803025623308763,0.816971510641043,0.772920393221094,0.79912283559656,0.555874858020476
"d31",0.713306886982128,0.899570181045957,0.915923798792888,0.920135363947606,0.173902194467533,0.923790023974218,0.906891828846128,0.775373311035175,0.601606654171475,0.840146147889738,0.858291156486235
"flame",0.917489940721447,1,0.367002969639417,0.187244070906317,0.0127504301311393,-0.0422301552686084,0.442150650455405,0.409345691109965,0.418975946289294,0.0127504301311393,0.211423026478911
"jain",0.988700820235201,1,0.514616982682244,0.514616982682244,0.256288512074381,0.779194020923121,0.779194020923121,0.514616982682244,0.476598526065278,0.768446889848748,-0.00717488625682434
"pathbased",0.490907245886968,0.613272308050801,0.424384828542033,0.484740691972538,0.000519521798686052,0.345520724742111,0.443642303528723,0.355175449510833,0.162262622430353,0.425268395370624,0.432555716574712
"r15",0.881891215431187,0.985650095985955,0.981995500820557,0.981995500820557,0.542457378402647,0.978524258898896,0.989259995246671,0.975057533608047,0.772031365115187,0.982133301049403,0.99277819941363
"s1",0.911515413758497,0.987993465874293,0.981196412056862,0.983335663870517,0.463522341495289,0.971062167115048,0.981599047547291,0.801684641060835,0.648208674035196,0.980547432716824,0.989705053548675
"s2",0.902207018273513,0.915229034538748,0.899655350031695,0.905749613430515,-2.04511922463677e-05,0.790872518551814,0.912602074550962,0.67863653910799,0.481035979925642,0.77930808676527,0.940154735658341
