,atom,chainlink,engytime,hepta,lsun,target,tetra,twodiamonds,wingnut,dense,fuzzyx,line,parabolic,ring,zigzag,iris,iris5,square,a1,a2,a3,aggregation,compound,d31,flame,jain,pathbased,r15,s1,s2,s3,s4,spiral,unbalance,cross,smile,twosplashes,x1,x2,x3,z1,z2,z3,crosshair,splecione,spread
Spectral Clustering,1.0,1.0,0.8018863150387961,1.0,1.0,0.38419772884028797,1.0,1.0,1.0,0.9602000804038779,0.4665400905884846,1.0,0.659002752860247,0.995999996008016,1.0,0.745503868180448,0.37465254770566886,1.0,0.9467720971045958,0.9585681633664346,0.9650442354827411,0.9898005667112105,0.6179410038481834,0.9415312089327997,0.9337361095249159,1.0,0.5128311268095108,0.9892138643396456,0.9791837566836081,0.9243041344047924,0.7277215866174563,,0.25505936584657485,0.8767806530954435,0.3651609790364485,0.43273506039797377,0.5028540201005025,1.0,0.6882872342370341,0.8919637538407452,0.24875912815264986,1.0,0.992871208537839,-0.0018312590372681582,-0.008212347851591193,0.9254690961287635
Linkage single,1.0,1.0,4.769538293204317e-07,1.0,1.0,1.0,-2.506328479410788e-05,0.0,1.0,0.0006031942149654349,-0.00012603239355720328,1.0,6.504084401759609e-05,1.0,1.0,0.5637510205230709,0.14846140003599073,1.0,0.4435710228386634,0.34775657782159847,0.31538907963814694,0.8042069683967059,0.7424809448687679,0.1739021944675327,0.012750430131139348,0.2562885120743812,0.0005195217986860517,0.5424573784026467,0.46352234149528904,-2.0451192246367664e-05,-1.3405361685175102e-05,4.6483638624909155e-05,1.0,0.9988276318631844,4.019398292051505e-06,1.0,0.00015038716235026765,1.0,-0.006922577960764702,0.006501543559890737,0.45780870327085693,0.7347114075995048,0.7386922295975198,1.0,0.0,-0.014710611303522279
Linkage complete,0.08353119288930394,0.31304548536476295,0.04058039464776404,1.0,0.4046129609519585,0.20668429967227592,0.9867009000400982,0.9850375245509264,0.8741751813779826,0.25726379274425304,0.6537153620843622,-0.07099606018139042,0.5894172260137619,0.2092049530222248,0.13012848648665712,0.64225125183629,0.3370081004649379,0.16755678705653862,0.9162284295009431,0.9084154805260766,0.9178556297352153,0.7857528162283399,0.7928781404685332,0.9237900239742176,-0.042230155268608356,0.7791940209231208,0.3455207247421115,0.9785242588988963,0.9710621671150479,0.7908725185518137,0.5092503854015455,0.41711871391559424,0.004622541538524425,0.6124663429125057,0.3587307321101674,0.4992935598240686,0.21895207822818255,1.0,0.20905480613510818,0.7254378459049974,0.20780751396734587,0.4413882974934681,0.9331990919261192,0.015569664399311173,-0.006804243699359782,0.45349754464761605
Linkage average,0.09862621818643044,0.27192171366650764,0.05101382634274292,1.0,0.36108853075196323,0.1455921882157087,0.9933165272203728,0.9949999922070802,1.0,0.9212046771339222,0.7426002274320629,-0.066108799452802,0.5986750085638649,0.1137456429403359,0.12919335235180396,0.7591987071071522,0.5577888635960027,0.15156673548870206,0.9250943103206616,0.9337253051435004,0.9435266923673952,0.9934673139347668,0.803025623308763,0.9068918288461281,0.4421506504554051,0.7791940209231208,0.4436423035287233,0.9892599952466714,0.9815990475472909,0.9126020745509621,0.5957412207001833,0.492565817388555,-0.002258128166183035,1.0,0.0013387054372886633,0.5746312169368047,0.0022561904224715746,1.0,0.2501658489314348,0.5045472401370921,0.1723326913575267,0.5115299953338182,0.9976177946910245,-0.0014406123571863892,-0.0015539260913903226,0.9045180330714813
Linkage weighted,0.21320601935898448,0.40143709929050847,0.031860269191981025,1.0,0.30650636528746644,0.29940105861149996,1.0,0.9949999922070802,1.0,0.004223973159667568,0.6149083738511012,-0.016703786191536656,0.6017832994976842,0.15946151688769583,0.13236150817124856,0.745503868180448,0.5322044148775326,0.22033878440426932,0.8040221080026753,0.8568777711487742,0.8495992722102848,0.7234587912458065,0.8169715106410433,0.7753733110351753,0.4093456911099651,0.5146169826822441,0.35517544951083285,0.9750575336080467,0.8016846410608346,0.6786365391079902,0.41892946122918695,0.37129700595767373,0.001710022441286031,0.6127354943592535,0.044926071634744755,0.4844547141022841,0.19164718979007184,1.0,-0.007511941847001187,0.5342144966735514,0.12759200686027777,0.3859942075306664,0.9395223419180262,-0.0017636344050957172,-0.0015221131464426198,0.716015272015026
Linkage centroid,0.0,0.0,0.027164015934996497,1.0,0.36108853075196323,0.05826802539984859,1.0,0.9949999922070802,1.0,0.9212046771339222,0.6734117262770826,-0.01300777369332629,0.6557555083635614,0.04628812497620706,0.14978531975066153,0.7591987071071522,0.5577888635960027,0.24744052504802178,0.8230017254872343,0.8009703017690405,0.8250269510800421,0.9934673139347668,0.8111305714271612,0.7822296363125765,0.012750430131139348,0.5146169826822441,0.45300108268562195,0.9891224564103206,0.9188309419999259,0.4155904678090055,0.05365744717296324,0.1293013730145201,0.0008539643741025571,0.999976887161302,0.0013387054372886633,0.5727577791692262,0.0022561904224715746,1.0,0.2501658489314348,0.5045472401370921,0.0,0.7339895827179613,0.9976177946910245,0.0,0.0,0.8597765246400969
Linkage median,0.0,0.3667004758366062,0.001910239274258272,1.0,0.31106715178918365,0.17231808167514606,1.0,0.9850375245509264,0.16073156810680692,0.5018070607383429,0.38216224698924584,-0.016703786191536656,0.6687945458568588,0.0,0.13236150817124856,0.5681159420289855,0.15270018621973935,0.15946151688769583,0.6858658800207665,0.7350039712448629,0.7294906162295308,0.9548763552201567,0.8010135294632025,0.640095275119959,0.3563527121236466,0.36154343146510715,0.45723965835734565,0.9856500959859545,0.7806391310134815,0.46351908418561283,0.06609682435638725,0.06533147653239472,0.011087919770473605,1.0,0.006120029906703956,0.7134471293785238,0.08220552498842223,1.0,0.11127488587334575,0.37937285956379335,0.1701885513944342,0.37879723398727017,0.8878699702606384,0.0,0.0,0.7236432841760768
Linkage ward,0.09862621818643044,0.2803387506713194,0.7184533725930805,1.0,0.3688216835344848,0.6387791202472746,0.9672676330087653,1.0,0.6011477451948987,0.9212046771339222,0.6369859694549721,-0.10430674209853005,0.6205673411511297,0.11646250093160991,0.14169575875900392,0.7311985567707745,0.5063689640141426,0.2534525517204769,0.9141553020400474,0.9222566535913777,0.9373762821575673,0.7948168532268816,0.5505771509182779,0.9201353639476055,0.18724407090631695,0.5146169826822441,0.484740691972538,0.9819955008205571,0.9833356638705167,0.9057496134305151,0.677113293406452,0.5532287863689617,-0.0008805161994257963,0.999976887161302,0.07246065208813927,0.4521403696988353,0.19164718979007184,1.0,0.19059652305968905,0.8689019389127653,0.27373284143921656,0.43418084028933634,1.0,-0.0016782159417620794,0.08116807617462397,0.8604840113748476
Genie,1.0,1.0,0.8124172785435686,1.0,1.0,0.42911148162209206,1.0,0.975125122351754,1.0,0.9602000804038779,0.34014573904300566,1.0,0.8134185073633361,1.0,1.0,0.8857921001989628,0.5937734650262808,1.0,0.8988358642156503,0.9224269939499103,0.938654515822145,0.48375180329550055,0.5412571736638715,0.8995701810459572,1.0,1.0,0.6132723080508014,0.9856500959859545,0.9879934658742926,0.915229034538748,0.6651041982676151,0.5909110697404406,1.0,0.6237507375299216,0.4633515404036161,1.0,0.5028540201005025,1.0,0.6882872342370341,0.49671314809300754,0.37545677247816694,0.6328960427257467,0.6641122521401077,1.0,-0.007624353945969756,0.9187981201649801
Spectral Clustering - sklearn,1.0,0.25125818119730675,0.846218754400813,1.0,0.7695901228421421,0.22128074832680583,1.0,1.0,0.7499551507978756,0.7732770949991515,0.30824537866095564,-0.03410709628232638,0.6174131567201333,1.0,0.14493220839779813,0.745503868180448,0.5322044148775326,0.13490392398303297,0.8169583843070753,0.8063938636976394,0.7911695868657231,0.8052363820581272,0.7544307441561813,0.824014091049691,0.4879557881626009,0.3301729362042178,0.44009444712987666,0.9711334546247565,0.9650666163834527,0.8840903594130817,0.5305850803011637,0.5182141339049937,-0.004250584633370839,0.6124107022262382,0.0001772325723855074,0.4949329588850492,0.27909321608040194,1.0,0.11176803429827108,0.6924919038312236,0.19300262886156316,0.6077455786820481,0.9797562402161645,0.014551335401267554,-0.0015539260913903226,0.9107676061046948
