,atom,chainlink,engytime,hepta,lsun,target,tetra,twodiamonds,wingnut,dense,fuzzyx,line,parabolic,ring,zigzag,iris,iris5,square,a1,a2,a3,aggregation,compound,d31,flame,jain,pathbased,r15,s1,s2,s3,s4,spiral,unbalance,cross,smile,twosplashes,x1,x2,x3,z1,z2,z3,crosshair,splecione,spread
Spectral Clustering,1.0,1.0,0.9013896280702068,1.0,1.0,0.614004768165925,1.0,1.0,1.0,0.9800040595779269,0.588604497652883,1.0,0.8293539216925345,0.997998000006012,1.0,0.8320502943378437,0.6196844929737555,1.0,0.9494236698110164,0.9597446476654178,0.9657389548126722,0.9920080295061697,0.7089804749839905,0.9434004894779123,0.969605564360485,1.0,0.6872065345796691,0.9899162680898594,0.980572743686192,0.9293508188159306,0.7459260385776117,,0.5521374213829002,0.9124241161735545,0.559296849628556,0.5786154094573884,0.7508040201005024,1.0,0.7951855144568276,0.9205229146237787,0.551020091350307,1.0,0.9950029179839225,0.49820204062826545,0.537838842325064,0.9497472793132496
Linkage single,1.0,1.0,0.7066753820607086,1.0,1.0,1.0,0.4943573290300682,0.7057802648330319,1.0,0.6949934391698094,0.44670748487134515,1.0,0.706159272011596,1.0,1.0,0.7635170681000877,0.6905482710606584,1.0,0.5639905857956433,0.48041040251394823,0.4488624525705467,0.8611807579495235,0.8304263995847698,0.34915270171594204,0.7300235270476356,0.8037825414782548,0.5733922705965514,0.6374570926794036,0.5893379712822749,0.25704035404141745,0.2567632937061424,0.25703838866816503,1.0,0.9991624822797989,0.4983785638012979,1.0,0.7009839821471602,1.0,0.5708978911132009,0.5115677143467592,0.6764153954664249,0.8574717321804232,0.8420768276993338,1.0,0.6964556734283275,0.5515102305672898
Linkage complete,0.6468032650478088,0.6892174323575663,0.6543737190724017,1.0,0.6272042686658551,0.6628431789001208,0.99000101504848,0.9925096100859493,0.9371602854662514,0.6706602981350002,0.7297624048016303,0.6055424924764449,0.7959202627607608,0.6603401814099571,0.5042255054319401,0.7686371028513819,0.66514537343186,0.6523419466936178,0.9204149690188661,0.9110337779323047,0.9194996227367005,0.8326935721567844,0.8547345675837809,0.9262271201547903,0.6230363899472076,0.9217630822902012,0.5954151579252184,0.979923199186615,0.9729921164299316,0.8065990073400509,0.5483650498829702,0.4680449793884167,0.34988581306752137,0.7749342609289066,0.5969727824366217,0.6471704948686618,0.6094559464721342,1.0,0.5506591463162214,0.8007546768205865,0.4694521929646486,0.6230788403287614,0.9535290245225772,0.5223172994921541,0.5607716320950089,0.6205197459723331
Linkage average,0.6462836986049043,0.6765288273479868,0.6500239102249518,1.0,0.6043770515988833,0.6576649848154996,0.9949748746890861,0.9974968750146851,1.0,0.9604363243777289,0.7954794427456862,0.6034887344404953,0.7993750372517534,0.6466934528151368,0.5085964758745157,0.8407289157574822,0.7652216724921734,0.6500239055410559,0.9288248484100883,0.9356106662864341,0.9446507020801282,0.99488119732326,0.8615784103781575,0.9103766519006976,0.731069999812516,0.9217630822902012,0.6526313041537177,0.9899594329720794,0.9828249479040381,0.9184257524306345,0.6363915291571115,0.5461921261388968,0.35727300502442216,1.0,0.4904592690307675,0.6903131933032665,0.6895675022451926,1.0,0.5867638199693272,0.6785018808173687,0.4585700417978974,0.6758621557416811,0.9983306056777703,0.5066781606203291,0.6751075141273726,0.9357588489195946
Linkage weighted,0.6611224913934425,0.7206489844318624,0.6589314026347668,1.0,0.5742042270541484,0.6840722312283917,1.0,0.9974968750146851,1.0,0.6825224350327586,0.7010860013431485,0.5971795506196291,0.8026895277999702,0.6511095270733998,0.49696316108805755,0.8320502943378437,0.7529068888069572,0.6628881664223366,0.8150213960722982,0.8613841091137684,0.8532663870693552,0.7834998771160075,0.8696764334509364,0.7844214743234806,0.7150870590858635,0.7904496301828084,0.5795248460865209,0.976682838182811,0.8186495066583173,0.7030016546071804,0.46977962146867563,0.4382970412819479,0.3456924194346976,0.7751479152641227,0.47537945762715506,0.6243357848832018,0.6020895566418281,1.0,0.5097649845845279,0.6962879615157432,0.4239369576239489,0.5942322099575471,0.9574573308035635,0.5003170424781908,0.6683467675275885,0.8047086361246804
Linkage centroid,0.7066641477903172,0.7067527852789117,0.6601733911767074,1.0,0.6043770515988833,0.7072854360711457,1.0,0.9974968750146851,1.0,0.9604363243777289,0.7422468326408614,0.5974023177882316,0.827730617582069,0.6531879138724266,0.5241082820171913,0.8407289157574822,0.7652216724921734,0.6697040853957934,0.8396073669143047,0.8171300645822979,0.8372182280110693,0.99488119732326,0.8662902122726993,0.8010025954222542,0.7300235270476356,0.7904496301828084,0.6585258055022642,0.9898308126109153,0.9262576250018397,0.5467598920106468,0.28750999059673493,0.3341340971543086,0.39464616486268106,0.9999834765654972,0.4904592690307675,0.6890485245448396,0.6895675022451926,1.0,0.5867638199693272,0.6785018808173687,0.5743195381816405,0.8574939131552662,0.9983306056777703,0.7065026341474413,0.7035264706814485,0.9048959529440869
Linkage median,0.7066641477903172,0.7077052645092029,0.6923466272767101,1.0,0.5752084566177459,0.6586973418730802,1.0,0.9925096100859493,0.651303070086873,0.760381423456011,0.5439800702676377,0.5971795506196291,0.8349279344934606,0.7067527852789117,0.49696316108805755,0.7714542762891773,0.7042497724071225,0.6511095270733998,0.7163944037834393,0.7537230565698532,0.746941236166246,0.9647397232517008,0.8603903620032116,0.672128390428928,0.6931063350570547,0.7179120614049114,0.659785183998768,0.9865846688334937,0.8050165869943429,0.5520900220034538,0.28490842122455723,0.28719422209205203,0.3420847328498965,1.0,0.47782526057699615,0.8263302787816585,0.5791479856933782,1.0,0.5118706047328901,0.5790963447419561,0.46257959539552473,0.5840849277482841,0.9218873680599304,0.7065026341474413,0.7035264706814485,0.8193959803765793
Linkage ward,0.6462836986049043,0.6790074219805232,0.8602399807978651,1.0,0.6051858249339195,0.7948341762290656,0.9753945158961902,1.0,0.8003773936541957,0.9604363243777289,0.71286872883128,0.6425540822933983,0.8111510369678326,0.6468143447759782,0.4965038581227112,0.8221697785442927,0.737836438814028,0.6713247113604928,0.9184429744064943,0.9244776630604656,0.9386268885134269,0.8419048442451131,0.6525445876038988,0.9226924588973318,0.6237313892578666,0.7904496301828084,0.6737791450350706,0.9831682050599823,0.9844467535339857,0.9120474124270391,0.6989347245420052,0.5846663569247037,0.3373833276572585,0.9999834765654972,0.4404288487912698,0.593916758306958,0.6020895566418281,1.0,0.5425659882143382,0.9033736272873971,0.5204874369187706,0.6116821600399063,1.0,0.5030778387133183,0.5470618839287136,0.9053816636506287
Genie,1.0,1.0,0.9064753618901974,1.0,1.0,0.6493538489423889,1.0,0.987547970762765,1.0,0.9800040595779269,0.523631442554887,1.0,0.9070469839120598,1.0,1.0,0.9234341632720613,0.7635419815965391,1.0,0.9046417690525569,0.9248988671278883,0.9400043244332711,0.587355244608637,0.6485960884182359,0.9031971846377725,1.0,1.0,0.7510884974198124,0.9865846688334937,0.9887933438096036,0.9208868550093929,0.6898950700646358,0.6202767057055236,1.0,0.7299226461595032,0.6236416476200801,1.0,0.7508040201005024,1.0,0.7951855144568276,0.6713371848205159,0.5932455956663816,0.7636928155792145,0.7726641244226273,1.0,0.5422746851918719,0.9452231874768363
Spectral Clustering - sklearn,1.0,0.6261721010110753,0.9231437389683764,1.0,0.8629457583659753,0.6653395220996602,1.0,1.0,0.8748544005963752,0.8869063913587807,0.4836359740021015,0.5971720151880257,0.8085491790683588,1.0,0.4912921262334654,0.8320502943378437,0.7529068888069572,0.6481457922705359,0.8187273781791999,0.8029650167680681,0.8289456428673978,0.8466003980564447,0.8197225081961392,0.8170149522469581,0.7529948242050757,0.7033942182353131,0.6532600110975493,0.9763037099841164,0.9673939415018561,0.8922426573663785,0.5881382374548348,0.5638488516631359,0.33041120588425965,0.7748966702570707,0.4952699595674701,0.6319958225146074,0.6386432160804019,1.0,0.5233213701483176,0.7795326820995911,0.4570116743415272,0.7412777498005617,0.9858746043856308,0.5116377724470039,0.6751075141273726,0.9397556191794928
MiniBatchKMeans,0.6582505894472555,0.5459107296389125,0.8955788332636855,1.0,0.6397258921202149,0.6584450701500123,1.0,1.0,0.9296795072166736,0.9045340337332909,0.7044927553808414,0.5974023177882316,0.7960686547153498,0.6513442259029877,0.4986617939403776,0.8112427991975698,0.7348943369023534,0.5090598195303352,0.9666681733000388,0.9690056053965708,0.9210718940505787,0.80197033606108,0.6353888520654941,0.8498069979402714,0.7200127387612157,0.6712218613784549,0.6617452249932362,0.9899162680898594,0.9864984483161475,0.9394118826963322,0.7431965029709194,0.6288219466106753,0.3350738053858981,1.0,0.44631661027930547,0.7020710039340311,0.6386432160804019,1.0,0.5506591463162214,0.8638941619445052,0.4731606124974617,0.5985751652762362,1.0,0.4982288700859499,0.5770020273796957,0.8907163514735706
KMeans,0.654708512069173,0.5459107296389125,0.9076346454086384,1.0,0.6423892311282245,0.7925729955187296,1.0,1.0,0.9296795072166736,0.9045340337332909,0.6832564057685244,0.5976993884341658,0.7945273617421568,0.4990090359903328,0.49620486988675006,0.8208080729114153,0.7348943369023534,0.517332283968294,0.9680171410185083,0.9686092912983393,0.9465835142951291,0.8159416273645236,0.6422088976465453,0.955669592768759,0.7363906803426874,0.7005435751851286,0.6616839023616249,0.9932484439315347,0.9876785640131748,0.9412472618127071,0.7447605838718896,0.6567892497719469,0.32763672899579344,1.0,0.4410803861822117,0.5849484486611058,0.6386432160804019,1.0,0.5506591463162214,0.8937919350413701,0.46533924993657494,0.6403381348163851,1.0,0.49820204062826545,0.5770020273796957,0.9003063254021758
